advanced_through,to_reach,seed,team,frequency
First Round,Second Round,9,Villanova,0.5
First Round,Second Round,10,Miami (OH),0.35
First Round,Second Round,11,Saint Louis,0.35
First Round,Second Round,9,Clemson,0.3
First Round,Second Round,10,South Florida,0.3
First Round,Second Round,10,McNeese,0.3
First Round,Second Round,11,High Point,0.25
First Round,Second Round,12,Oklahoma,0.25
First Round,Second Round,12,California Baptist,0.25
First Round,Second Round,13,UNCW,0.25
First Round,Second Round,11,Georgia,0.25
First Round,Second Round,10,Dayton,0.25
First Round,Second Round,11,San Diego State,0.2
First Round,Second Round,9,Kentucky,0.15
First Round,Second Round,13,Liberty,0.15
First Round,Second Round,12,Belmont,0.15
First Round,Second Round,12,Yale,0.15
First Round,Second Round,9,Tennessee,0.15
First Round,Second Round,14,Troy,0.1
First Round,Second Round,16,Idaho,0.05
First Round,Second Round,14,Merrimack,0.05
First Round,Second Round,14,Navy,0.05
First Round,Second Round,14,Wright State,0.05
First Round,Second Round,15,Furman,0.05
First Round,Second Round,13,UC Irvine,0.05
Second Round,Sweet 16,5,Saint Mary's College,0.25
Second Round,Sweet 16,6,Texas Tech,0.25
Second Round,Sweet 16,5,Alabama,0.25
Second Round,Sweet 16,7,TCU,0.2
Second Round,Sweet 16,5,UCLA,0.2
Second Round,Sweet 16,8,BYU,0.15
Second Round,Sweet 16,6,Nebraska,0.15
Second Round,Sweet 16,6,Utah State,0.15
Second Round,Sweet 16,9,Villanova,0.15
Second Round,Sweet 16,7,North Carolina,0.15
Second Round,Sweet 16,7,Louisville,0.15
Second Round,Sweet 16,10,Miami (OH),0.15
Second Round,Sweet 16,6,VCU,0.1
Second Round,Sweet 16,5,Illinois,0.1
Second Round,Sweet 16,12,California Baptist,0.1
Second Round,Sweet 16,11,Georgia,0.1
Second Round,Sweet 16,12,Belmont,0.05
Second Round,Sweet 16,12,Yale,0.05
Second Round,Sweet 16,9,Tennessee,0.05
Second Round,Sweet 16,7,Ohio State,0.05
Second Round,Sweet 16,12,Oklahoma,0.05
Second Round,Sweet 16,13,UC Irvine,0.05
Second Round,Sweet 16,10,Dayton,0.05
Second Round,Sweet 16,8,Santa Clara,0.05
Sweet 16,Elite 8,3,Arkansas,0.4
Sweet 16,Elite 8,3,Connecticut,0.35
Sweet 16,Elite 8,3,Iowa State,0.3
Sweet 16,Elite 8,3,Purdue,0.2
Sweet 16,Elite 8,4,Wisconsin,0.2
Sweet 16,Elite 8,5,UCLA,0.15
Sweet 16,Elite 8,4,Vanderbilt,0.15
Sweet 16,Elite 8,7,TCU,0.1
Sweet 16,Elite 8,4,Michigan State,0.1
Sweet 16,Elite 8,8,BYU,0.05
Sweet 16,Elite 8,6,VCU,0.05
Sweet 16,Elite 8,5,Saint Mary's College,0.05
Sweet 16,Elite 8,4,Kansas,0.05
Sweet 16,Elite 8,9,Tennessee,0.05
Sweet 16,Elite 8,11,Georgia,0.05
Sweet 16,Elite 8,12,California Baptist,0.05
Sweet 16,Elite 8,6,Texas Tech,0.05
Sweet 16,Elite 8,6,Nebraska,0.05
Sweet 16,Elite 8,7,North Carolina,0.05
Sweet 16,Elite 8,5,Alabama,0.05
Sweet 16,Elite 8,10,Dayton,0.05
Sweet 16,Elite 8,8,Santa Clara,0.05
Elite 8,Final Four,2,Virginia,0.25
Elite 8,Final Four,2,Gonzaga,0.2
Elite 8,Final Four,2,Houston,0.15
Elite 8,Final Four,3,Iowa State,0.15
Elite 8,Final Four,2,Florida,0.15
Elite 8,Final Four,3,Connecticut,0.15
Elite 8,Final Four,4,Wisconsin,0.15
Elite 8,Final Four,3,Arkansas,0.1
Elite 8,Final Four,5,UCLA,0.1
Elite 8,Final Four,8,BYU,0.05
Elite 8,Final Four,11,Georgia,0.05
Elite 8,Final Four,7,TCU,0.05
Elite 8,Final Four,7,North Carolina,0.05
Final Four,Championship,2,Houston,0.1
Final Four,Championship,3,Connecticut,0.1
Final Four,Championship,2,Virginia,0.1
Final Four,Championship,4,Wisconsin,0.1
Final Four,Championship,2,Florida,0.05
Final Four,Championship,11,Georgia,0.05
Final Four,Championship,3,Arkansas,0.05
Final Four,Championship,2,Gonzaga,0.05
Championship,N/A,3,Connecticut,0.05
Championship,N/A,4,Wisconsin,0.05
Championship,N/A,2,Virginia,0.05
