advanced_through,to_reach,seed,team,frequency
First Round,Second Round,12,Gonzaga,0.5151515151515151
First Round,Second Round,12,Murray St,0.5
First Round,Second Round,9,Virginia Tech,0.4696969696969697
First Round,Second Round,10,Colorado,0.4696969696969697
First Round,Second Round,12,James Madison,0.4696969696969697
First Round,Second Round,10,Villanova,0.45454545454545453
First Round,Second Round,9,USC,0.4393939393939394
First Round,Second Round,11,Rhode Island,0.4393939393939394
First Round,Second Round,11,Fairfield,0.4393939393939394
First Round,Second Round,9,Syracuse,0.42424242424242425
First Round,Second Round,11,S Dakota St,0.3787878787878788
First Round,Second Round,13,Idaho,0.36363636363636365
First Round,Second Round,10,UVA/ASU,0.3484848484848485
First Round,Second Round,10,Tennessee,0.30303030303030304
First Round,Second Round,9,Princeton,0.25757575757575757
First Round,Second Round,13,Miami OH,0.24242424242424243
First Round,Second Round,13,W Illinois,0.24242424242424243
First Round,Second Round,14,Vermont,0.22727272727272727
First Round,Second Round,12,Colorado St,0.21212121212121213
First Round,Second Round,14,UC San Diego,0.21212121212121213
First Round,Second Round,15,Jacksonville,0.19696969696969696
First Round,Second Round,11,NEB/RICH,0.18181818181818182
First Round,Second Round,15,FDU,0.18181818181818182
First Round,Second Round,13,Green Bay,0.18181818181818182
First Round,Second Round,14,Charleston,0.18181818181818182
First Round,Second Round,15,Holy Cross,0.15151515151515152
First Round,Second Round,14,Howard,0.13636363636363635
First Round,Second Round,15,High Point,0.09090909090909091
First Round,Second Round,16,UTSA,0.09090909090909091
First Round,Second Round,16,CA Baptist,0.07575757575757576
First Round,Second Round,16,MOST/SFA,0.015151515151515152
Second Round,Sweet 16,5,Michigan St,0.4090909090909091
Second Round,Sweet 16,7,NC State,0.3181818181818182
Second Round,Sweet 16,6,Baylor,0.2878787878787879
Second Round,Sweet 16,6,Washington,0.22727272727272727
Second Round,Sweet 16,5,Maryland,0.21212121212121213
Second Round,Sweet 16,6,Notre Dame,0.21212121212121213
Second Round,Sweet 16,6,Alabama,0.21212121212121213
Second Round,Sweet 16,13,Miami OH,0.19696969696969696
Second Round,Sweet 16,11,Rhode Island,0.19696969696969696
Second Round,Sweet 16,8,Oklahoma St,0.19696969696969696
Second Round,Sweet 16,12,Gonzaga,0.18181818181818182
Second Round,Sweet 16,12,James Madison,0.18181818181818182
Second Round,Sweet 16,5,Kentucky,0.16666666666666666
Second Round,Sweet 16,7,Georgia,0.16666666666666666
Second Round,Sweet 16,8,Iowa State,0.16666666666666666
Second Round,Sweet 16,11,Fairfield,0.16666666666666666
Second Round,Sweet 16,10,Colorado,0.16666666666666666
Second Round,Sweet 16,5,Ole Miss,0.15151515151515152
Second Round,Sweet 16,12,Murray St,0.15151515151515152
Second Round,Sweet 16,10,Villanova,0.13636363636363635
Second Round,Sweet 16,7,Illinois,0.13636363636363635
Second Round,Sweet 16,11,S Dakota St,0.13636363636363635
Second Round,Sweet 16,7,Texas Tech,0.13636363636363635
Second Round,Sweet 16,13,Idaho,0.13636363636363635
Second Round,Sweet 16,13,W Illinois,0.10606060606060606
Second Round,Sweet 16,15,Jacksonville,0.09090909090909091
Second Round,Sweet 16,8,Clemson,0.07575757575757576
Second Round,Sweet 16,10,Tennessee,0.07575757575757576
Second Round,Sweet 16,13,Green Bay,0.07575757575757576
Second Round,Sweet 16,8,Oregon,0.07575757575757576
Second Round,Sweet 16,15,Holy Cross,0.07575757575757576
Second Round,Sweet 16,14,Vermont,0.07575757575757576
